1398909348,2016-03-12,38,NY,,18,18,0927P,,-,937210,0420,420,P,2YD948,999
1398909361,2016-03-12,38,NY,,18,18,0935P,,-,937210,0420,420,P,E91DFM,PAS
1398909373,2016-03-17,46,NY,,18,18,0635P,,-,937210,0420,420,P,7A11A,OMT
1405756720,2016-03-18,46,K,,77,77,0415P,,-,957799,0077,77,P,FTT2816,PAS
1409378640,2016-03-27,46,,,19,19,0335P,,-,938460,0405,405,P,56248MG,COM
1409378652,2016-03-27,46,NY,,19,19,0330P,,-,938460,0405,405,P,12996JU,COM
1412240232,2016-03-11,19,K,,84,84,1142A,,-,921824,0084,84,P,2559929,PAS
1399184234,2016-03-04,20,NY,,1,1,1150A,,-,539572,MN01,0,S,HNL1932,PAS
1371961608,2016-03-17,24,Q,,100,100,1008P,,-,214,0835,835,X,HEF9427,PAS
1381470178,2016-03-18,24,K,,84,84,0916P,,-,951536,0803,803,P,GWR6544,PAS
1413501746,2016-03-13,78,K,,70,70,0225A,,-,935514,0070,70,P,XCEG43,PAS
1412302213,2016-03-28,78,NY,,28,28,0150A,,-,959608,0028,28,P,80963MB,COM
1413663035,2016-03-26,40,K,,84,84,1110P,,-,958013,0084,84,P,26561MB,COM
1377327206,2016-03-20,40,BX,,52,52,0959A,,-,949291,0052,52,P,GXA5997,PAS
1377327218,2016-03-20,20,BX,,52,52,0930A,,-,949791,0052,52,P,GHW1280,PAS
1399846978,2016-03-20,40,BX,,52,52,0155A,,-,939872,0052,52,P,HAK2246,PAS
1400026143,2016-03-21,46,BX,,52,52,1207P,,-,949475,0052,52,P,GPR3344,PAS
1405013011,2016-03-20,40,BX,,52,52,0840A,,-,934696,0052,52,P,HDS3957,PAS
1405013138,2016-03-20,67,BX,,52,52,0934P,,-,952883,0052,52,P,M42EAF,PAS
1406699093,2016-03-20,40,BX,,52,52,0925A,,-,941313,0052,52,P,HFJ2092,PAS
1406699100,2016-03-20,67,BX,,52,52,0928A,,-,941313,0052,52,P,GEX3133,PAS
1406699111,2016-03-20,14,BX,,50,50,0934A,,-,941313,0052,52,P,T686039C,OMT
1406699123,2016-03-20,20,BX,,52,52,0936A,,-,941313,0052,52,P,GVG3196,PAS
1406723083,2016-03-15,40,BX,,52,52,0350P,,-,941277,0052,52,P,HES2483,PAS
1406723095,2016-03-20,40,BX,,52,52,0415P,,-,941277,0052,52,P,GXE3069,PAS
1406729530,2016-03-20,14,BX,,52,52,0626A,,-,958389,0052,52,P,HDH2293,PAS
1406729840,2016-03-20,40,BX,,52,52,1211A,,-,958697,0052,52,P,GXB2024,PAS
1406729863,2016-03-20,46,BX,,52,52,0825P,,-,958697,0052,52,P,GMZ7007,PAS
1406731365,2016-03-20,46,BX,,52,52,0833P,,-,958972,0052,52,P,GXB1659,PAS
1408110544,2016-03-20,98,BX,,52,52,0847P,,-,933635,0052,52,P,GZP9428,PAS
1408111135,2016-03-20,98,BX,,5,5,0445A,,-,951426,0052,52,P,HTX321,PAS
1408111147,2016-03-20,98,BX,,52,52,0630A,,-,951426,0052,52,P,HBN2358,PAS
1408113089,2016-03-20,46,BX,,52,52,0815P,,-,949026,0052,52,P,JPS4632,PAS
1408115130,2016-03-20,67,BX,,52,52,0244P,,-,941313,0052,52,P,GNJ9898,PAS
1408130142,2016-03-20,46,BX,,54,54,0737P,,-,954291,0054,54,P,GJP2559,PAS
1408130634,2016-03-20,14,BX,,52,52,0144A,,-,958752,0052,52,P,GKZ6945,PAS
1408204708,2016-03-20,46,BX,,52,52,0846P,,-,955068,0163,163,P,JXW8198,PAS
1408204710,2016-03-20,40,BX,,52,52,0847A,,-,955068,0163,163,P,JXW8198,PAS
1408204721,2016-03-20,74,BX,,52,52,0848P,,-,955065,0163,163,P,JXW8198,PAS
1408206274,2016-03-20,40,BX,,52,52,0709P,,-,955281,0163,163,P,HCT2268,PAS
1408206640,2016-03-21,50,BX,,52,52,1228A,,-,955381,0163,163,P,GMZ6430,PAS
1408206651,2016-03-21,46,BX,,52,52,1246A,,-,955381,0163,163,P,T687197C,OMT
