1408270808,2016-03-27,46,43
7662711195,2016-03-05,38,19
8035141375,2016-03-01,21,45
8195013053,2016-03-22,38,110
8112510039,2016-03-31,31,13
4617911662,2016-03-28,36,-1
7492236086,2016-03-10,20,83
8155011963,2016-03-01,21,84
8293001574,2016-03-30,21,61
4617315020,2016-03-14,36,-1
1403236458,2016-03-15,46,19
4617241310,2016-03-10,36,-1
5090700084,2016-03-04,7,-1
7498616440,2016-03-26,37,112
7708780470,2016-03-19,46,26
4616903827,2016-03-02,36,-1
7120357670,2016-03-08,74,48
8027020761,2016-03-08,71,103
7912167067,2016-03-23,14,10
8026575738,2016-03-10,37,104
7487446580,2016-03-02,20,40
8029591925,2016-03-24,31,13
1403912040,2016-03-10,50,62
8047628768,2016-03-01,14,109
7956999194,2016-03-04,40,122
4617953085,2016-03-29,36,-1
7397529290,2016-03-21,70,47
4617532109,2016-03-17,36,-1
4616788420,2016-03-01,36,-1
1406854281,2016-03-03,19,61
8023071257,2016-03-10,38,61
7055099043,2016-03-16,37,13
7366871229,2016-03-01,14,6
7056638636,2016-03-19,38,18
1407857630,2016-03-15,45,20
8267011985,2016-03-22,38,34
8093003174,2016-03-12,16,5
7038287291,2016-03-10,37,24
7985494327,2016-03-11,46,18
4617009036,2016-03-07,36,-1
7498542511,2016-03-21,82,33
8238007598,2016-03-09,38,104
7933184455,2016-03-01,84,7
7491394693,2016-03-22,38,106
1405079940,2016-03-07,74,46
1403008899,2016-03-07,74,70
7699989510,2016-03-04,40,66
7014647350,2016-03-01,16,24
8141514581,2016-03-17,21,43
7699189267,2016-03-25,70,61
5090867800,2016-03-18,7,-1
8271508751,2016-03-17,84,19
8038439510,2016-03-05,70,6
7497531074,2016-03-12,38,88
8143015361,2016-03-30,21,49
4617459492,2016-03-16,36,-1
8097502185,2016-03-02,47,13
4617644908,2016-03-21,36,-1
8173006507,2016-03-18,21,71
7418358945,2016-03-22,71,47
7493841895,2016-03-18,21,10
1400292736,2016-03-13,46,114
7803347721,2016-03-05,20,70
1407888936,2016-03-27,46,32
8044498072,2016-03-31,37,115
7036286131,2016-03-28,40,23
4616996430,2016-03-07,36,-1
8034413173,2016-03-15,21,46
8148011746,2016-03-23,14,83
8049481980,2016-03-22,21,90
8166504054,2016-03-30,37,72
8082517591,2016-03-26,38,24
7066714167,2016-03-17,37,5
7003075428,2016-03-06,14,108
4617253257,2016-03-11,36,-1
7963575938,2016-03-24,16,20
8097503517,2016-03-07,42,14
4616948586,2016-03-04,36,-1
8038215102,2016-03-15,14,6
1399884440,2016-03-10,40,44
1398465768,2016-03-29,20,78
8123010163,2016-03-27,17,13
8031942675,2016-03-22,21,20
8049921414,2016-03-18,38,19
7058209339,2016-03-09,69,14
4617103338,2016-03-09,36,-1
1409316233,2016-03-29,46,19
8168007803,2016-03-28,38,63
1334860129,2016-03-30,62,40
7497920248,2016-03-11,38,114
4617336394,2016-03-11,36,-1
8008689407,2016-03-22,71,94
8042482085,2016-03-14,38,19
8049345749,2016-03-21,14,18
8045431283,2016-03-26,14,104
8028342516,2016-03-29,69,14
8138005294,2016-03-30,19,47
7072343386,2016-03-03,21,10
7989146290,2016-03-21,46,19
7759995210,2016-03-31,38,103
4617985049,2016-03-29,36,-1
7495381310,2016-03-17,31,14
8024496185,2016-03-25,20,109
7706320649,2016-03-26,21,20
8041778902,2016-03-28,38,20
8164030387,2016-03-23,21,61
7492175449,2016-03-23,16,18
4617825770,2016-03-24,36,-1
5090836048,2016-03-16,7,-1
1408430502,2016-03-02,45,24
4617667192,2016-03-21,36,-1
8188535722,2016-03-25,20,67
8176013092,2016-03-14,21,69
7617248684,2016-03-11,16,94
8038565137,2016-03-04,84,7
8118008850,2016-03-28,38,18
8113012382,2016-03-17,69,13
7730521659,2016-03-16,14,84
8187516409,2016-03-15,21,61
4617197345,2016-03-10,36,-1
7821199734,2016-03-29,14,17
8030296149,2016-03-16,14,18
5090756181,2016-03-09,7,-1
4616948872,2016-03-04,36,-1
7045806656,2016-03-15,14,1
4617151047,2016-03-09,36,-1
8136522662,2016-03-07,38,45
7020658015,2016-03-30,14,84
8031854713,2016-03-02,48,28
8203505673,2016-03-11,71,109
4617504448,2016-03-17,36,-1
7587303534,2016-03-29,31,10
5090802221,2016-03-13,7,-1
4616781308,2016-03-01,36,-1
1406769381,2016-03-31,46,78
8048127167,2016-03-10,70,109
7034570190,2016-03-19,38,114
7100272373,2016-03-19,20,115
7185594194,2016-03-05,20,115
7496649351,2016-03-25,14,19
4617291222,2016-03-11,36,-1
8048333480,2016-03-15,20,6
8049923678,2016-03-29,21,33
7081880599,2016-03-15,20,40
8035437800,2016-03-15,46,77
8199507986,2016-03-08,71,111
7589296867,2016-03-28,20,34
4616811428,2016-03-02,36,-1
5090865802,2016-03-18,7,-1
4616707704,2016-03-01,36,-1
8034414130,2016-03-18,20,48
1407171653,2016-03-02,46,77
4617033415,2016-03-08,36,-1
1406675003,2016-03-17,46,43
4617100969,2016-03-09,36,-1
