1408115116,2016-03-20,20,52,52,941313,52,P
1408115128,2016-03-20,20,52,52,941313,52,P
1408128561,2016-03-20,74,52,52,934638,52,P
1408206948,2016-03-20,40,52,52,936283,52,P
1408207394,2016-03-20,50,52,52,955294,163,P
1406725699,2016-03-20,99,52,52,955294,163,P
1406725729,2016-03-20,99,52,52,955294,163,P
1406775010,2016-03-10,21,78,78,949639,78,P
1408294692,2016-03-10,40,43,43,958368,43,P
1413745581,2016-03-11,78,111,111,960507,111,P
1413745593,2016-03-11,83,111,111,960507,111,P
1414662762,2016-03-19,46,28,28,943766,28,P
1414984376,2016-03-26,40,115,115,930845,115,P
1382517476,2016-03-12,67,7,7,939106,7,P
1398568132,2016-03-01,79,310,310,949222,401,P
1400267948,2016-03-31,46,104,104,935424,104,P
1403912543,2016-03-04,40,62,62,938416,62,P
1404922295,2016-03-13,46,50,50,938629,50,P
1405096330,2016-03-07,40,46,46,915254,46,P
1405096354,2016-03-07,40,46,46,915254,46,P
1405294553,2016-03-31,21,71,71,539520,0,S
1405223716,2016-03-03,21,75,75,540192,0,S
1406120376,2016-03-02,21,45,45,686951,0,S
1376965604,2016-03-11,14,14,14,951874,14,P
1404402706,2016-03-01,46,112,112,938309,112,P
1404522268,2016-03-03,14,94,94,957874,94,P
1398616941,2016-03-10,46,33,33,930235,33,P
1400278880,2016-03-16,46,110,110,953926,110,P
1400279057,2016-03-12,14,110,110,951241,110,P
1400537290,2016-03-16,21,107,107,330391,883,P
1400537319,2016-03-16,21,107,107,330397,883,P
1400537332,2016-03-16,21,107,107,330371,883,P
1400818503,2016-03-14,98,78,78,939461,78,P
1402139007,2016-03-04,20,72,72,956582,72,P
1402969028,2016-03-01,46,70,70,954578,70,P
1402208248,2016-03-03,46,69,69,957001,69,P
1401884702,2016-03-12,21,76,76,514769,0,S
1402759393,2016-03-14,40,102,102,955124,102,P
1402759400,2016-03-14,40,102,102,955124,102,P
1404969664,2016-03-01,66,40,40,934478,40,P
1403170770,2016-03-12,37,28,28,956088,28,P
1404341444,2016-03-03,98,104,104,952595,104,P
