8136522662,2016-03-07,38,45,45,0229P
7020658015,2016-03-30,14,84,84,0754A
8031854713,2016-03-02,48,28,28,1156A
8203505673,2016-03-11,71,109,109,1017A
4617504448,2016-03-17,36,-1,0,1108A
7587303534,2016-03-29,31,10,10,0255P
5090802221,2016-03-13,7,-1,0,0103A
4616781308,2016-03-01,36,-1,0,1219P
1406769381,2016-03-31,46,78,78,0901A
8048127167,2016-03-10,70,109,109,0754P
7034570190,2016-03-19,38,114,114,1038A
7100272373,2016-03-19,20,115,115,0954A
7185594194,2016-03-05,20,115,115,0933A
7496649351,2016-03-25,14,19,19,0918A
4617291222,2016-03-11,36,-1,0,0235P
8048333480,2016-03-15,20,6,6,0222P
8049923678,2016-03-29,21,33,33,1212P
7081880599,2016-03-15,20,40,40,0212P
8035437800,2016-03-15,46,77,77,0116P
8199507986,2016-03-08,71,111,111,1120A
7589296867,2016-03-28,20,34,34,0933A
4616811428,2016-03-02,36,-1,0,0200P
5090865802,2016-03-18,7,-1,0,0530P
4616707704,2016-03-01,36,-1,0,0832A
8034414130,2016-03-18,20,48,48,1149A
1407171653,2016-03-02,46,77,77,1035A
4617033415,2016-03-08,36,-1,0,0925A
1406675003,2016-03-17,46,43,43,1040P
4617100969,2016-03-09,36,-1,0,0756A
7538789510,2016-03-23,20,68,68,0304P
8246513515,2016-03-31,20,1,1,0836A
8038165214,2016-03-07,38,9,9,0931A
8038090706,2016-03-09,84,5,5,0127P
7491337650,2016-03-04,37,84,84,0444P
7035070874,2016-03-25,14,18,18,0517P
8227015608,2016-03-18,51,103,103,0850A
4616809392,2016-03-02,36,-1,0,0140P
7729072129,2016-03-09,71,79,79,0442P
4617539037,2016-03-17,36,-1,0,0410P
7985062427,2016-03-31,21,19,19,0915A
8290500580,2016-03-25,82,42,42,0937A
7499512680,2016-03-02,71,109,109,0741A
7724069797,2016-03-23,40,20,20,0709P
8182015509,2016-03-15,37,62,62,1257P
7499730736,2016-03-08,14,49,49,0856P
7040199087,2016-03-20,71,84,84,1118A
8062506836,2016-03-21,20,30,30,0231P
4617867259,2016-03-24,36,-1,0,1218P
8044929101,2016-03-13,70,102,102,1057A
7056221129,2016-03-05,37,10,10,0342P
4616937930,2016-03-04,36,-1,0,0155P
7008297208,2016-03-23,19,110,110,0129P
8211504297,2016-03-21,37,114,114,1223P
8029241355,2016-03-10,69,18,18,0800A
7041866361,2016-03-14,21,49,49,0847A
1402846046,2016-03-30,40,102,102,0115P
1404369946,2016-03-15,20,111,111,0713P
4618031566,2016-03-30,36,-1,0,1205P
7496326616,2016-03-01,21,78,78,0913A
1407839720,2016-03-29,9,30,30,1231P
7638392450,2016-03-29,38,112,112,0112P
1407878335,2016-03-03,20,30,30,1254A
7031376439,2016-03-25,19,45,45,0445P
8225003251,2016-03-17,70,112,112,0259P
7047029540,2016-03-24,38,5,5,0228P
7123364491,2016-03-14,71,113,113,0759A
8042083658,2016-03-16,46,33,33,1100A
7601522532,2016-03-07,71,52,52,0326P
7203968170,2016-03-25,50,66,66,0135P
7954274883,2016-03-14,14,90,90,0303P
4617075434,2016-03-08,36,-1,0,0138P
7779091405,2016-03-14,70,52,52,1056A
1404194253,2016-03-31,17,23,23,0530P
8047296309,2016-03-15,14,17,17,0546P
1408110106,2016-03-14,46,52,52,1104A
8036097758,2016-03-11,24,84,84,0909A
4617708558,2016-03-22,36,-1,0,1154A
1405555397,2016-03-21,46,19,19,1236P
1403763124,2016-03-14,71,72,72,1017A
7499348726,2016-03-15,70,43,43,0522P
8167511765,2016-03-02,37,61,61,0115P
4617176226,2016-03-09,36,-1,0,0125P
4617539554,2016-03-17,36,-1,0,0430P
7496178640,2016-03-08,14,25,25,0325P
8218519038,2016-03-09,37,109,109,0509P
7495568094,2016-03-25,19,17,17,0725A
4617117507,2016-03-09,36,-1,0,1050A
7027943724,2016-03-29,37,106,106,0449P
1409241609,2016-03-21,20,67,67,1053P
7030274167,2016-03-17,46,62,62,1110A
7487591920,2016-03-14,14,75,75,0554P
1409425587,2016-03-22,48,84,84,0115P
8137017409,2016-03-14,20,52,52,0148P
8208003657,2016-03-20,46,109,109,1253P
8161006933,2016-03-22,40,84,84,0535P
7081880083,2016-03-13,20,52,52,1117A
7063887490,2016-03-21,38,18,18,0244P
8020794141,2016-03-24,71,79,79,0928A
7078210955,2016-03-01,16,1,1,1213P
7030663550,2016-03-10,21,73,73,0856A
1405401588,2016-03-28,21,83,83,1134A
7356390711,2016-03-16,37,19,19,0431P
4617103181,2016-03-09,36,-1,0,0836A
7034628476,2016-03-26,21,32,32,0833A
4617206991,2016-03-10,36,-1,0,1221P
7499172685,2016-03-12,31,17,17,1256P
8135009203,2016-03-25,38,50,50,0925A
7499795378,2016-03-29,48,5,5,0216P
5090681089,2016-03-03,7,-1,0,0733A
7495078108,2016-03-01,71,40,40,1202P
7075833420,2016-03-17,21,19,19,0910A
8022974523,2016-03-16,37,66,66,0429P
7123362354,2016-03-04,61,102,102,0930A
7493735657,2016-03-30,69,18,18,1022A
8265526945,2016-03-16,21,75,75,1124A
1405727135,2016-03-06,46,77,77,0825A
7037571921,2016-03-16,31,18,18,1227P
7185595502,2016-03-11,38,114,114,0930A
7617248544,2016-03-10,14,84,84,0640A
7024617196,2016-03-24,46,46,46,1148P
7498287950,2016-03-05,20,61,61,0922A
8075019441,2016-03-11,38,30,30,1103A
4617234524,2016-03-10,36,-1,0,0232P
7771380852,2016-03-07,78,47,47,0318A
7162334374,2016-03-14,14,120,120,0112P
8218522207,2016-03-29,14,114,114,0240P
7658683942,2016-03-30,16,1,1,1024P
1407432254,2016-03-02,46,79,79,0405P
8143014150,2016-03-25,20,43,43,0719A
8024149989,2016-03-10,19,109,109,1115A
4617012175,2016-03-07,36,-1,0,0221P
5090872235,2016-03-19,7,-1,0,0957A
4617079634,2016-03-08,36,-1,0,0221P
8160016669,2016-03-16,70,79,79,0505P
7008295133,2016-03-14,14,109,109,1220P
7393449640,2016-03-16,19,50,50,0641P
7047883186,2016-03-25,46,9,9,0954A
7495448600,2016-03-24,38,20,20,1110A
8112003981,2016-03-11,47,17,17,0506P
4617851537,2016-03-24,36,-1,0,0301P
8121009303,2016-03-31,42,17,17,0151P
8027194386,2016-03-17,19,103,103,1028P
4617991529,2016-03-29,36,-1,0,0324P
4005596708,2016-03-08,5,-1,0,0213P
8040322157,2016-03-03,37,24,24,0433P
8048291253,2016-03-22,21,115,115,1155A
7896134238,2016-03-30,31,14,14,0625A
7771381900,2016-03-16,14,40,40,0101P
4617380966,2016-03-15,36,-1,0,0104P
1399875036,2016-03-21,98,44,44,0700A
7491338306,2016-03-06,71,90,90,0413P
7494527448,2016-03-09,14,73,73,0408P
8049917381,2016-03-04,16,20,20,0211P
8020884970,2016-03-18,19,90,90,1058A
4616943114,2016-03-04,36,-1,0,0248P
7059903537,2016-03-26,38,18,18,0248P
1409044350,2016-03-28,21,47,47,0853A
7138226512,2016-03-01,51,1,1,1237P
8136016331,2016-03-22,70,52,52,0156P
7077000667,2016-03-10,37,109,109,0112P
8038090159,2016-03-07,14,5,5,1157A
7921884970,2016-03-04,46,26,26,0724A
8023049770,2016-03-21,38,62,62,0123P
8070036059,2016-03-14,16,30,30,0156P
8263530313,2016-03-31,21,70,70,0059A
4617982553,2016-03-28,36,-1,0,0218P
8222005418,2016-03-08,19,110,110,1111A
7384307429,2016-03-29,24,50,50,0737A
4617348207,2016-03-15,36,-1,0,0718A
7716740957,2016-03-01,20,19,19,0414P
4617246540,2016-03-11,36,-1,0,0726A
8045190103,2016-03-28,21,103,103,1201P
7491340027,2016-03-14,21,90,90,1205P
8047339874,2016-03-15,46,33,33,1053A
7658681477,2016-03-20,14,7,7,0052A
7986762299,2016-03-26,38,24,24,1056A
4616839451,2016-03-03,36,-1,0,1040A
